connType,tau_d_GABAA,tau_d_GABAA_std,Use,Use_std,Dep,Dep_std,Fac,Fac_std,gmax,gmax_std,Nrrp,s_type,type
SP_BS:SP_BS,,,,,,,,,,,,,
SP_BS:SP_CCKBC,,,,,,,,,,,,,
SP_BS:SP_Ivy,,,,,,,,,,,,,
SP_BS:SP_PVBC,,,,,,,,,,,,,
SP_BS:SO_Tri,,,,,,,,,,,,,
SP_BS:SLM_PPA,,,,,,,,,,,,,
SP_BS:SO_BP,,,,,,,,,,,,,
SP_BS:SR_SCA,,,,,,,,,,,,,
SP_BS:SP_AA,,,,,,,,,,,,,
SP_BS:SP_PC,16.1,1.1,0.13,0.03,1122,156,9.3,0.7,1.6,0.1,1,I2,IE
SP_BS:SO_BS,,,,,,,,,,,,,
SP_BS:SO_OLM,,,,,,,,,,,,,
SP_CCKBC:SP_BS,4.12,0.5,0.23,0.09,410,190,10,11,2.35,0.7,1,,II
SP_CCKBC:SP_CCKBC,4.5,0.55,0.11,0.03,115,110,1542,700,4.5,0.3,1,I1,II
SP_CCKBC:SP_Ivy,4.12,0.5,0.23,0.09,410,190,10,11,2.35,0.7,1,,II
SP_CCKBC:SP_PVBC,4.12,0.5,0.23,0.09,410,190,10,11,2.35,0.7,1,,II
SP_CCKBC:SO_Tri,,,,,,,,,,,,,
SP_CCKBC:SLM_PPA,,,,,,,,,,,,,
SP_CCKBC:SO_BP,,,,,,,,,,,,,
SP_CCKBC:SR_SCA,4.5,0.55,0.11,0.03,115,110,2,700,4.5,0.3,1,,II
SP_CCKBC:SP_AA,,,,,,,,,,,,,
SP_CCKBC:SP_PC,9.35,1,0.16,0.04,153,120,12,3.5,1.8,0.3,1,I3,IE
SP_CCKBC:SO_BS,,,,,,,,,,,,,
SP_CCKBC:SO_OLM,,,,,,,,,,,,,
SP_Ivy:SP_BS,,,,,,,,,,,,,
SP_Ivy:SP_CCKBC,,,,,,,,,,,,,
SP_Ivy:SP_Ivy,,,,,,,,,,,,,
SP_Ivy:SP_PVBC,,,,,,,,,,,,,
SP_Ivy:SO_Tri,,,,,,,,,,,,,
SP_Ivy:SLM_PPA,,,,,,,,,,,,,
SP_Ivy:SO_BP,,,,,,,,,,,,,
SP_Ivy:SR_SCA,,,,,,,,,,,,,
SP_Ivy:SP_AA,,,,,,,,,,,,,
SP_Ivy:SP_PC,16,2.5,0.32,0.14,144,80,62,31,0.48,0.05,1,I3,IE
SP_Ivy:SO_BS,,,,,,,,,,,,,
SP_Ivy:SO_OLM,,,,,,,,,,,,,
SP_PVBC:SP_BS,,,,,,,,,,,,,
SP_PVBC:SP_CCKBC,,,,,,,,,,,,,
SP_PVBC:SP_Ivy,,,,,,,,,,,,,
SP_PVBC:SP_PVBC,2.67,0.13,0.26,0.05,930,360,1.6,0.6,4.5,0.3,6,I2,II
SP_PVBC:SO_Tri,,,,,,,,,,,,,
SP_PVBC:SLM_PPA,,,,,,,,,,,,,
SP_PVBC:SO_BP,,,,,,,,,,,,,
SP_PVBC:SR_SCA,,,,,,,,,,,,,
SP_PVBC:SP_AA,2.67,0.13,0.24,0.15,1.73,530,3.5,1.5,4.5,0.3,1,I2,II
SP_PVBC:SP_PC,5.94,0.5,0.16,0.02,965,185,8.6,4.3,2.15,0.1,6,I2,IE
SP_PVBC:SO_BS,,,,,,,,,,,,,
SP_PVBC:SO_OLM,,,,,,,,,,,,,
SO_Tri:SP_BS,,,,,,,,,,,,,
SO_Tri:SP_CCKBC,,,,,,,,,,,,,
SO_Tri:SP_Ivy,,,,,,,,,,,,,
SO_Tri:SP_PVBC,,,,,,,,,,,,,
SO_Tri:SO_Tri,,,,,,,,,,,,,
SO_Tri:SLM_PPA,,,,,,,,,,,,,
SO_Tri:SO_BP,,,,,,,,,,,,,
SO_Tri:SR_SCA,,,,,,,,,,,,,
SO_Tri:SP_AA,,,,,,,,,,,,,
SO_Tri:SP_PC,7.75,0.9,0.3,0.08,1.25,520,2,4,1.4,0.3,1,I2,IE
SO_Tri:SO_BS,,,,,,,,,,,,,
SO_Tri:SO_OLM,,,,,,,,,,,,,
SLM_PPA:SP_BS,,,,,,,,,,,,,
SLM_PPA:SP_CCKBC,,,,,,,,,,,,,
SLM_PPA:SP_Ivy,,,,,,,,,,,,,
SLM_PPA:SP_PVBC,,,,,,,,,,,,,
SLM_PPA:SO_Tri,,,,,,,,,,,,,
SLM_PPA:SLM_PPA,,,,,,,,,,,,,
SLM_PPA:SO_BP,,,,,,,,,,,,,
SLM_PPA:SR_SCA,,,,,,,,,,,,,
SLM_PPA:SP_AA,,,,,,,,,,,,,
SLM_PPA:SP_PC,,,,,,,,,,,,,
SLM_PPA:SO_BS,,,,,,,,,,,,,
SLM_PPA:SO_OLM,,,,,,,,,,,,,
SO_BP:SP_BS,,,,,,,,,,,,,
SO_BP:SP_CCKBC,,,,,,,,,,,,,
SO_BP:SP_Ivy,,,,,,,,,,,,,
SO_BP:SP_PVBC,,,,,,,,,,,,,
SO_BP:SO_Tri,,,,,,,,,,,,,
SO_BP:SLM_PPA,,,,,,,,,,,,,
SO_BP:SO_BP,,,,,,,,,,,,,
SO_BP:SR_SCA,,,,,,,,,,,,,
SO_BP:SP_AA,,,,,,,,,,,,,
SO_BP:SP_PC,,,,,,,,,,,,,
SO_BP:SO_BS,,,,,,,,,,,,,
